_record_id,_title,_server_updated_at,_updated_by,_geometry,_latitude,_longitude,site_id,act_codes,access_id,site_name,site_label,site_address,site_description,hours_info,open_close_date,fee,public_transit,public_transit_description,url_public,site_manager,phone_site_manager,email_site_manager,accessibility_description,safety,use_limits,program_yn,program_name,program_description,program_url,program_contact,amenities_description,bike_path_accessible,restrooms,changing_station,food,drinking_water,walking_trails,equipment_rental,boat_launch_yn,parking,parking_descripton,wheelchair_access_restrooms,wheelchair_access_trails,swim_yn,fish_yn,hpbl_yn,mpbl_yn,boat_cleaning_requirements,site_name_photo_01,site_name_photo_02,site_name_photo_03,photo_credits,owner,owner_type,water_quality_monitoring,typology,lat,long,near_cso,cso_label
c8a08164-6616-44a1-a1a4-cf2e801a8f64,"Cedar Grove Park, Cedar Grove Beach Pl, Staten Island, NY 10306",2024-05-09 13:17:19 UTC,Sara Eichner,SRID=4326;POINT(-74.10986128 40.55624249),40.55624249,-74.10986128,53,SWIM,"963, 641, 679",Cedar Grove Park,Cedar Grove Park,"Cedar Grove Beach Pl, Staten Island, NY 10306","Cedar Grove Park is a swimming beach that is part of the larger Great Kills Park Gateway National Recreation Area. The park includes wetland areas with a paved bike and walking trail that runs along and through the wetlands, connecting to Midlands Park and Miller Field. This is a peaceful greenway, good for for birdwatching. The unprotected beach next to the swimming beach is continuous with the beaches of Midland Park and Miller Field; also great for walking. ","6 am to 1 am, and 10 am to 6 pm for swimming ",Beach open for swimming from Memorial Day through Sept 10.,N,,,www.nycgovparks.org/facilities/kayak/55,,,,There are wheelchair accessible restrooms and a walking trail that is paved and wheelchair friendly. ,,A lifeguard is on duty during summer months but the beach is unprotected during the rest of the year. ,N,,,,,,Y,Y,Y,,Y,y,n,,Y,Parking is next to the beach. ,Y,y,Y,Y,Y,,,cedar_grove_park_01.jpg,cedar_grove_park_02.jpg,cedar_grove_park_03.jpg,Hudson Access Project,National Parks,National Park,,Sandy beach next to wetlands,40.55624249,-74.10986128,1,
2d108653-df05-444b-9acd-0b0ea022db88,"Miller Field, Gateway National Recreation Area, Enter at New Dorp Ln and Cedar Grove Ave",2024-05-09 13:12:55 UTC,Sara Eichner,SRID=4326;POINT(-74.09871524 40.56799333),40.56799333,-74.09871524,106,"FISH,HPBL,SWIM","3, 391, 795","Miller Field, Gateway National Recreation Area",Miller Field,Enter at New Dorp Ln and Cedar Grove Ave," Once a farm owned by the Vanderbilt family in the 19th century and an airfield in the early twentieth century, this is now a Gateway National Recreation area. The site has a wide range of amenities such as athletic fields, multiple areas for bbq, ample parking, walking and bike trails, an area for kayak and canoe launch as well as beach for swimming, fishing and walking.",,,,Y,S76/S86 bus to Cedar Grove Ave and New Dorp Ave,https://www.nps.gov/gate/learn/historyculture/miller-field.htm,,,,The area is largely wheelchair accessible and includes many paved walking trails and picnic areas that are accessible. The beach and waterfront is sandy so not wheelchair friendly. Rest room is a Port-o-John and not ADA accessible.,,,N,,,,,Beach has no lifeguard: Restroom is a portable unit,Y,Y,Y,,Y,y,,Y,Y,,Y,y,Y,Y,y,,,miller_field_01.jpg,miller_field_02.jpg,miller_field_03.jpg,Hudson Access Project,National Park Service,National,,Beach,40.56799333,-74.09871524,,
eef88ce9-4a29-45f6-9e96-a9bb305ea144,"Fort Washington Park, Hudson River Greenway, New York, NY 10032",2024-05-08 15:50:35 UTC,Sara Eichner,SRID=4326;POINT(-73.94465114 40.85129495),40.85129495,-73.94465114,62,FISH,,Fort Washington Park,,"Hudson River Greenway, New York, NY 10032","Fort Washington is a 290-acre park home to the historic ruins of Fort Tryon and Dyckman Farmhouse. The Hudson River Greenway crosses through this park, which gives spectacular views of the Manhattan skyline. There are some quiet points for fishing access north of the park, close to Dyckman Street. ",6:00 am - 1:00 am,,N,Y,"Subway: A, Bus: M4, M98",https://www.nycgovparks.org/parks/fort-washington-park/,NYC Parks,,info@parks.nyc.gov,,"The bike lane to enter Fort Washington Park on the north end does not connect to the rest of the park, but does offer great fishing access. Take the empire state trail to access the main area of the park. ",https://www.dec.ny.gov/outdoor/7894.html,Y,Inwood Canoe Club,"Oldest continually-operated paddlesport club in New York City. Inwood Canoe Club provides free, guided 20-minute kayak trips on the Hudson River just north of the George Washington Bridge.",https://www.inwoodcanoenyc.org/,inwoodcanoe@gmail.com ,"Spray Showers, BBQ areas, Baseball fields, Basketball courts, Soccer fields, Tennis courts ",Y,Y,,N,Y,Y,Y,N,N,,,,N,Y,y,N,,fortwashingtonpark_01.jpg,fortwashingtonpark_02.jpg,fortwashingtonpark_03.jpg,Alyssa Bement,NYC Parks,city_park,https://www.riverkeeper.org/water-quality/hudson-river/nyc-hudson-bergen/george-washington-bridge-midchannel/,Park,40.85129495,-73.94465114,,
4ba1cde0-5431-4f55-a590-4f0c277aa287,"Ridgefield Park, 24 Industrial Ave, Ridgefield Park",2024-05-08 15:40:38 UTC,Sara Eichner,SRID=4326;POINT(-74.03188298 40.85932646),40.85932646,-74.03188298,377189,"HPBL,MPBL",572,Ridgefield Park,,"24 Industrial Ave, Ridgefield Park", ,,,,,,www.ridgefieldpark.org/board-recreation,Village Clerk,,"boardofrec@ridgefieldpark.org
",,,,Y,Wanda Canoe Club,,https://wandacc.org/,wandaccinfo@gmail.com,,,Y,,Y,Y,,,,Y,,,,,,,,,,,,,NJ Local Government,Village Clerk,,,40.85932646,-74.03188298,1,
85fcaae4-1872-4b70-922e-21a9e75c9a9d,"Breezy Point Tip at Jamaica Bay, End of Rockaway Point Blvd  Beach 222nd Street Fisherman’s Lot (just before guard gate for the Breezy Point Surf Club). Take right fork in path to reach bay side; left fork for the ocean side of the point.
Queens New York  11697",2024-05-06 21:08:27 UTC,Sara Eichner,SRID=4326;POINT(-73.93464175 40.55051561),40.55051561,-73.93464175,98,FISH,"6, 416, 501, 784",Breezy Point Tip at Jamaica Bay,Breezy Point,End of Rockaway Point Blvd  Beach 222nd Street Fisherman’s Lot (just before guard gate for the Breezy Point Surf Club). Take right fork in path to reach bay side; left fork for the ocean side of the point. Queens New York  11697,"It’s easy to forget one is in New York City at this barrier beach and wildlife habitat. This is part of the Jamaica Bay Gateway National Recreation Area; federal lands where the beach is open to the ocean on one side of the point and to the bay looking across to Coney Island on the other. It is home to sand dunes, shrub land and marsh areas where the paths to the beach are lined with beachgrass, bayberry and beach plum as well as poison ivy. This is a protected nesting area and for shore birds such as the Piping Plovers, Black Skimmers, Least and Common Terns, and American Oystercatchers. Fish varieties to catch include fluke, striped bass, American eel, bluefish and Atlantic cod. Please see NY State fishing regulations (www.dec.ny.gov/outdoor/7894.html) for more information.",,,N,N,,"www.nps.gov/gate/planyourvisit/index.htm, https://www.nps.gov/gate/index.htm",https://www.nps.gov/gate/index.htm,(718) 338-3799,,The paths are sandy and not navigable by wheelchair. The water front is sandy beach. ,"This site is not wheelchair accessible, the walk from parking lot to the water is .2 miles to the bay side and a little less than 1 mile to the ocean side.  There is poison ivy along the path to the ocean facing beach in summer months. Check for ticks and find more site specific safety info from the GNRA administration here: www.nps.gov/gate/planyourvisit/safety.htm","No special fishing license is required from the National Park Service to fish at Gateway National Recreation Area, but those 16 and older must enroll in the free New York Recreational Marine Fishing Registry, and all New York State fishing regulations apply. Shellfishing is not allowed due to health concerns stemming from contaminated shellfish in the park waters. A fishing parking lot permit is required to park here at all times. These can be purchased online only at www.recreation.gov/ between March 1 and May 15 and again between September 15 and November 15. There is also a sand parking lot closer to the ocean side of the point. For this you need a beach access permit for vehicles.  Dogs are not allowed at Breezy point from March 15 through Sept 15. Seasonal access due to piping plover nesting.",N,,,,,Dogs are allowed from September 16 through March 14th. They are not allowed the rest of the year to protect shorebird nesting areas. Restroom is a port-o-john at the fishing parking lot. ,,Y,,N,N,y,n,,Y,Small lot for cars with the fishing lot parking permit sticker available from www.recreation.gov/ between March 1 and May 15. Parking is a .2 - 1 mile walk to the water.,N,n,,Y,,,,breezypoint_01.jpg,breezypoint_02.jpg,breezypoint_03.jpg,Hudson Access Project,GNRA  NPS,National Park,,Beach,40.55051561,-73.93464175,0,
e7de47ce-0b1d-40d0-a294-38f5040de841,"Paerdegat Basin Park, 1310 Paerdegat Ave North",2024-05-06 14:19:11 UTC,Sara Eichner,SRID=4326;POINT(-73.90837622 40.62712176),40.62712176,-73.90837622,13,"HPBL,MPBL","138, 248, 334, 394, 395, 000, 000, 000, 000",Paerdegat Basin Park,,1310 Paerdegat Ave North,"The Sebago Canoe Club is a volunteer run, 501C3 nonprofit, membership organization in Canarsie, Brooklyn. The club, with its pleasant, tree-filled grounds is located on Paerdegat basin with direct access to the beautiful waters of Jamaica Bay. For more information regarding Sebago Canoe Club, please visit their website at www.sebagocanoeclub.org 
(Information provided by the Sebago Canoe Club website). ",Sunrise to Sunset (April 1 to December 1),,,,,www.nycgovparks.org/facilities/kayak/9,"Walter Lewandowski
",,"kayaker824@gmail.com
",,Paddling in groups is recommended in Jamaica Bay,,Y,Sebago Canoe Club,,www.sebagocanoeclub.org,,,,Y,,,Y,,,Y,Y,,,,,,,,,,,,,NYC Parks,,,,40.62712176,-73.90837622,1,
98b9b50a-9666-4712-bab6-5b89661692f7,"Great Kills Park, 192 Buffalo St, Staten Island; Hylan and Buffalo St",2024-05-04 15:23:46 UTC,Sara Eichner,SRID=4326;POINT(-74.12275747 40.54708949),40.54708949,-74.12275747,6,"FISH,HPBL,MPBL","2, 071, 619, 166, 017, 960, 000",Great Kills Park,,"192 Buffalo St, Staten Island; Hylan and Buffalo St","Located on a peninsula in Staten Island, Great Kills Park is almost 600 acres of open space where visitors can enjoy many recreational amenities or explore the wildlife still thriving in New York City. This is a large waterfront park with walking trails, a long coastline, and four beaches: New Dorp Beach, Cedar Grove Beach, Oakwood Beach, and Fox Beach. The name Great Kills originates from a Dutch word meaning 'many creeks'. Today, the waters are popular with boaters and fisherman alike. Kayak launching is available at both the marina and the beach.
A parking lot at Crooke’s Point, at the end of the road and peninsula is available for cars with Staten Island fishing permits. There is beach one can walk around the full point here as well as many trails in the woods.
For more information, please visit the New York Harbor Parks & Great Kills website: www.nyharborparks.org/visit/grki.html. Marinas are located on the bay and offer moorings for a variety of boat types. Learn more here: https://marinas.com/view/inlet/pgiew6_Great_Kills_Harbor_Inlet_Great_Kills_NY_United_States",,,,Y,"Staten Island Railway, Bay Terrace, S78 from SI Ferry or S79 from Brooklyn, Staten Island Railway","https://www.nycgovparks.org/parks/great-kills-park/, www.nycgovparks.org/facilities/kayak/28, https://marinas.com/view/inlet/pgiew6_Great_Kills_Harbor_Inlet_Great_Kills_NY_United_States",,,,"Parking available close to water, paved sidewalks and gravel paths ",Heavy pleasure boat traffic and commercial traffic in the offshore shipping lanes.,,Y,National Park Service,,,National Park Service,,N,Y,,Y,Y,y,n,Y,Y,"Multiple lots, paved and gravel",Y,y,Y,Y,y,Y,,great_kills_park_01.JPG,great_kills_park_02.JPG,great_kills_park_03.JPG,Hudson Access Project,National Park Service  NPS,,,"Beach, rocky, park",40.54708949,-74.12275747,1,
87a85091-ea26-4fcc-90d1-c17deca67aad,"Marine Park, 3301 Ave U, Brooklyn, Ave U between Burnett St & East 33 St",2024-05-02 17:44:57 UTC,Sara Eichner,SRID=4326;POINT(-73.91941448 40.59728282),40.59728282,-73.91941448,91,HPBL,"47, 816, 081, 677",Marine Park,"Salt Marsh Nature Center, Gerritsen Inlet","3301 Ave U, Brooklyn, Ave U between Burnett St & East 33 St","The largest city park in Brooklyn, Marine Park. Environmentally, it consists of 530 acres of grassland and precious salt marsh, protected as a Forever Wild preserve. The Urban Park Rangers present bushels of educational and fun activities in its Salt Marsh Nature Center each week, and interested, independent visitors can wander along the Salt Marsh Nature Trail to observe unique regional flora and fauna.

 launch and landing site for canoes and kayaks at Gerritsen inlet. The park offers many other activities such as golf, bocce ball, cricket fields, and baseball diamonds, playgrounds, and bicycle greenways.",Sunrise to Sunset (April 1 to December 1),,N,N,"B46, B2 or B41 bus to Kings Plaza. Transfer for the westbound B3 bus to East 33rd Street and Avenue U. 
2 or 5 train to Nostrand Avenue, then B41 to Kings Plaza, then B3 west to East 33rd and Avenue U. 
N, F or Q trains to Avenue U, then B3 bus east to East 33rd and Avenue U.","https://www.nycgovparks.org/parks/marine-park, www.nycgovparks.org/facilities/kayak/17, https://www.nycgovparks.org/parks/marine-park/facilities/kayak, https://www.nycgovparks.org/highlights/exploring-marine-park-salt-marsh",,,,,"Heavy motor boat traffic from Gerritsen Beach; conditions in Rockaway Inlet can be challenging.
It is difficult to get boat to water’s edge due to rocks and pilings blocking beach.","Beginner: Gerritsen Inlet 2 hours 3-4 miles
Intermediate: Outside Inlet, Deadhorse Bay, Plum Beach 3-4 hours 4-6 miles
Intermediate: Outside Inlet, Cross Channel to the Rockaways, Sheepshead Bay 3-4 hours 6-8 miles
Intermediate: Outside Inlet, Jamaica Bay 4-5 hours 8-10 miles
Expert: Outside Inlet, Breezy Point, Atlantic Ocean 3-4 miles to Atlantic Ocean
Expert: Outside Inlet, Jamaica Bay 5-7 hours 10-15 miles
(information is from the NYC Parks website) 
No swimming, rafts, or inflatables, or consumption of alcohol. 
Pets must be on a leash",,,,,,,,Y,,N,Y,y,y,Y,Y,,N,n,,,y,,,,,,,NYC Parks,,,New York City Park ,40.59728282,-73.91941448,0,
8ff829b2-069f-4602-802e-3e136f275050,"Canarsie Pier at Jamaica Bay, Canarsie Veterans Circle, Brooklyn",2024-04-18 18:04:34 UTC,Sara Eichner,SRID=4326;POINT(-73.88521051 40.62980532),40.62980532,-73.88521051,45,"FISH,HPBL,MPBL","8, 616, 451, 730",Canarsie Pier at Jamaica Bay,Canarsie Pier,"Canarsie Veterans Circle, Brooklyn","Canarsie Pier has been a fishing hotspot for more than 300 years. Not only is this a great spot to catch blue fish and fluke, but has a picnic area, playground, and kayak launch. Put in at the sand beach on the east side of the popular 600-foot fishing pier. Seasonal walk-up kayaking is offered by National Park Service Rangers.",Open daily from 6 am to 10 pm,,N,Y,B42 to Rockaway Pkwy/Shore Pkwy,www.nps.gov/gate/learn/historyculture/canarsie-pier.htm,National Park Service,718-354-4606,,,,,Y,National Park Service Rangers.,Seasonal walk-up kayaking is offered by National Park Service Rangers.,https://www.nps.gov/gate/planyourvisit/calendar.htm,,,Y,Y,Y,N,Y,Y,Y,Y,Y,,Y,Y,N,Y,Y,Y,,canarsiepier_01.jpg,canarsiepier_02.jpg,canarsiepier_03.jpg,Alyssa Bement,National Park Service,national,https://www.riverkeeper.org/water-quality/citizen-data/new-york-city-waterfront/canarsie-paerdegat-basin-sebago-canoe-club-dock/,"Pier, beach",40.62980532,-73.88521051,0,
0701c0b9-d5b0-43da-a415-4b091449a5bb,Rahway River Parkway - Cranford,2024-04-18 17:39:07 UTC,Sara Eichner,SRID=4326;POINT(-74.30085503 40.64080587),40.64080587,-74.30085503,900168,FISH,,Rahway River Parkway - Cranford,,,"Part of the Rahway River Parkway, a 950 acre system of parks connected by woodlands that run along Rahway River in Union County, New Jersey.  It is one of America's first and oldest surviving Greenways designed by the Frederick Law Olmsted's Firm that also designed Central Park.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,Y,,,,,,,,,,,,40.64080587,-74.30085503,,
