site_id,program_contact,site_name,ferry_landing
500002,,1st St,
501734,,1st St & W River Rd,
501120,,2nd St & William St,
501108,,3rd St & William St,
598299,,403 Cliff Road,
626955,,5th Ave,
536486,,5th St & Cedar St,
286080,,"911 Memorial, Weehawken",
388776,,Academy Ln & River Rd,
181010,,Access streets off Seagirt ave,
103,,Alice Austen House & Park,
639879,,Amboy Ave,
900140,,American Veterans Memorial Pier,"Bay Ridge, Midtown West"
148320,info@licboathouse.org,Anable Basin,Long Island City
147400,,Anchor Yacht Club,
599056,,Anchorage Beach,
503407,,Angler's Marina,
900148,,Anheuser-Busch Street End,
645753,,Annsville Creek Preserve,
163849,,Arrow Yacht Club,
639592,,Arthur Kill Greenway,
284276,,Arthur's Landing Rd,
546830,,Asbury Ave,
523467,,Atlantic Dr,
542201,,Atlantic Highlands Marina,
595901,,Atlantic Highlands Municipal Harbor,
598818,,Atlantic Highlands Municipal Harbor,
196110,,Atlantis Marina & Yacht Club,
542278,,Ave D & Harbor View Ave,
525828,,Avenel Way & Florence Ave,
540806,,Avenue A & Harbor View Ave,
502976,,Avenue of the Two Rivers & Shrewsbury Dr,
306395,,Aviation Cove,
535868,,Bahrs Landing Seafood Restaurant & Marina,
527078,,Baker's Landing,
537414,,Baker's Marina On The Bay,
501735,,Barnacle Bill's Marina,
38893,,Barretto Point Park,
57,,Battery Park,"Battery Maritme Building, Battery Park City, Whitehall Terminal"
158410,,Bay Breeze Marina,
161707,Info@communityboathouse.org,Bay Breeze Park,
120669,,Bay End Marine,
194,,Bay Ridge Kite Field,
900154,,Bay View at Bayfield Ave,
649195,,Bayshore Waterfront Park,
541903,,Bayside Dr,
900158,,Bayside Marina,
160290,,Bayswater Park,
164,,Bayswater Point State Park,
180,,Bayview Terrace Park,
542277,,"Beach & Seastreak Ferry Pier, Sandy Hook Beach",
83,,Beach Channel Park,
503248,,Beach St & Ocean Ave,
532545,,Beachway Ave & Pinewood Pl,
647000,,Bear Mountain State Park Fishing Pier,
513484,,Belford Marine Railway,
514817,,Bellevue Ave & Burlington Ave,
501283,,Bellevue Pl & Atlantic Ave,
900146,,Bensonhurst Park,
107684,,Bergen Beach Yacht Club,
268831,,Bergen St,
607447,,Best Western Riverview Walkway,
598641,,Bicentennial Park,
337697,,Binghampton Way & River Rd,
600466,,Blackberry Bay Park,
223805,,Bowline Point Parks and Recreational Facility,
598798,,Boyd Park,
547210,,Branchport Ave & Atlantic Ave,
600088,,Branchport Park,
167,,Brant Point Wildlife Sanctuary,
98,,Breezy Point Tip at Jamaica Bay,
600179,,Brett Park,
510777,,Brevent Ave & Burlington Ave,
900149,,Bridge Park,
361252,,Bridge St & Court St,
439733,,Bridge St & Rt 21,
547615,,Bridgewater Dr,
39,,Broad Channel American Park,
43,,Bronx Park,
38,,Bronx River Parkway,
594778,,Brook Ave & Union Ave,
900145,,Brooklyn Bay Center at BJs,
158,hello@bbpboathouse.org,Brooklyn Bridge Park,"Atlantic Ave/BBP Pier 6, DUMBO/BBP Pier 1"
109392,,Brooklyn Yacht Club,
503070,,Brooks Marina,
453123,,Brown's Boat Yard Inc,
525746,,Brown's Point Marina,
646763,,Buchanan Boat Launch,
900141,,Bush Terminal Piers Park,
146,,Bushwick Inlet Park,North Williamsburg
3,,Calvert Vaux Park,
499472,,Cambridge Rd & Shore Rd,
512044,,Campbell Ave & Church St,
900138,,Canarsie Park,
45,,Canarsie Pier at Jamaica Bay,
622521,contactus@cranfordcanoeclub.com ,Canoe Club Park,
599993,,Canoskonk State Park,
178816,,Capt Mikes Marina,
598939,,Captain Carlsen Park,
536935,,Captain's Cove Marina,
406532,,Career Ave & Darwin Ave,
407956,,Carlton,
500903,,Carriage House Marina,
596778,,Carteret Waterfront Park,
135,,Castle Hill Park,
601443,,Castle Point Park,
60640,,Catherine Scott Promenade,
601659,,Causeway Park,
649199,,Cedar Street Park,
520386,,Center St & Glenmary Ave,
501964,,Center St & Ocean Ave,
499658,,Central Ave & Sea View Ave,
509536,,Central Rd & Wharfside Dr,
513036,,Chamone Ave & Burlington Ave,
509894,,Channel Club Marina,
310623,,Chapel Ave,
507099,,Chapin Ave,
601186,,Charles Park,
596362,,Charles St,
595854,,Cheesequake State Park,
396447,,Chubb Ave,
268056,,Cleveland Ave,
446127,,Cliffside Marina,
595035,,Cliffwood Beach Park,
595682,,Cliffwood Beach Park,
45106,,Co-Op City,
141926,,College Point Yacht Club,
527394,,Columbia Ave & Cookman Ave,
184,,Columbia Street Esplanade,
133,info@bronxriver.org,Concrete Plant Park,
46,,Coney Island Beach & Boardwalk,
103863,,Coney Island Creek Park,
145,,Coney Island Creek Park,
29,admin@conferencehouse.org,Conference House Park,
485278,,Cornell Dr,
228365,,Cornettas Restaurant & Marina,
536184,,Cornwell St & Shrewsbury Ave,
646890,,Cortlandt Waterfront Park,
222,,Costco,Astoria
275340,,County Road Exit,
503993,,Covesail Marina,
595598,,Crampton Ave & Pearl Ave,
153174,,Crocheron Park,
645203,,Croton Landing Park,
645520,info@kayakhudson.com,Croton Point Park,
601485,,Daniel Morris Park,
598277,,Davidson Mill Park,
547133,,Deal Ave & Milton Ave,
431358,,DeJessa Bridge,
597284,,Dekorte Park,
599550,,Dennis Collins Park,
646726,,Dobbs Ferry Waterfront Park,
644923,,Dock St,
600818,,Dock St Fishing Parking Lot,
597182,,Dominick F. Santelle Park,
598250,,Donaldson Park,
547125,,Dorean Dr,
546347,,Driveway,
900152,info@jbrpc.org,Dubos Point Wildlife Sanctuary,
599063,,Dundee Dam Park,
600695,,Dundee Island Park,
900157,info@hudsonsailing.org,Dyckman Marina,
611074,,E Inman Ave,
547877,,East Main St & Pemberton Ave,
16,,East River Esplanade,E 34th Street
17,,East River Esplanade and Bikeway (E 63th St - E 84th St),"E 90th Street, Roosevelt Island"
114,sa2559@columbia.edu,East River Esplanade and Bikeway (E 90th St - E 125th St),E 90th Street
115,,East River Park,Corlears Hook
134,,East River State Park,North Williamsburg
187,,East River Waterfront Esplanade/Piers,"Battery Maritme Building, Corlears Hook, DUMBO/BBP Pier 1, Wall Street/Pier 11, Whitehall Terminal"
206306,,Ebb-Tide Marina,
598897,,Edison Boat Basin,
596951,,Edison Boat Basin & River Walk,
599502,,Edward Grekoski Park,
255046,,Elco Fisherman's Marina,
637189,,Elizabeth Ave & Front St,
638338,,Elizabeth Marina,
339980,,Elmwood Park Boat Ramp,
223722,,Emeline Park,
900144,,Empire City Water Sports,
231,,Erie Basin Park,
33,,Faber Park,
540024,,Fair Haven Municipal Ramp,
540232,,Fair Haven Pier,
539516,,Fair Haven Yacht Works,
503098,,Fairbanks Motel & Marina,
900159,,Fairway Promenade at Red Hook Stores,
463665,,Fayette Street & Rector Street,
2,,Ferry Point Park,Throgs Neck/Ferry Point Park
649198,,Firefighters Park,
497688,,Florence Ave & Victoria Pl,
152,stc212@gmail.com,Floyd Bennett Field at Jamaica Bay,
10,,Flushing Promenade and Boat Launch,
49,"Community Boathouse, National Park Service",Fort Tilden at Jamaica Bay,
50,,Fort Totten Park,
186,,Fort Wadsworth at Jamaica Bay,
62,inwoodcanoe@gmail.com,Fort Washington Park,
599897,,Foschini Park,
496991,,Fox Rd & Marina Dr,
146957,,Francis Lewis Park,
30,,Franklin D. Roosevelt Boardwalk & Beach,
123798,,Futura Marina,
597690,,G Thomas Didomenico Park,
170,"HarborLAB, Friends of Brook Park",Gantry Plaza State Park,"Hunters Point South, Long Island City"
172,,Gantry Plaza State Park (Queens West),"Hunters Point South, Long Island City"
534902,,Gateway Marina,
106,,"Miller Field, Gateway National Recreation Area",
326909,,General Nathanael Greene Park,
646125,,George's Island Park,
229201,,Gesner Avenue Street End,
396468,,Gotham Pkwy,
121,info@downtownboathouse.org,Governors Island,"Governor's Island (to BK), Governor's Island (to MN)"
215,info@gowanusdredgers.org,Gowanus Canal Sponge Park,South Williamsburg
648805,,Grand Cove Marina,
337083,,Grand Cover Way & River Rd,
539720,,Grange Ave & Cooney Terrace,
504070,,Grant Ave & Warren St,
6,,"Great Kills Park, Gateway National Recreation Area",
53,,"Cedar Grove Park, Gateway National Recreation Area",
196021,,Great Kills Yacht Club,
900142,,Greenpoint Public Park,Greenpoint
509493,,Griffin Street Memorial Park,
267199,,Guttenberg / North Bergen Waterfront Park,
645621,,Habirshaw Park on the Hudson,
416750,,Hackensack Ave & Commerce Way,
598967,,Hackensack River County Park,
362012,,Hackensack Yacht Club,
646137,,Half Moon Bay Marina,
163,,Hallets Cove Playground,"Astoria, E 90th Street"
192,senior_admin@licboathouse.org,Hallett's Cove Beach,Astoria
392213,,Halstead Ave,
58078,,Hammonds Cove,
539134,,Hance Rd & Cooney Terrace,
530680,,Hans Pedersen & Sons,
601234,,Happy Meadows,
332543,,Harbor Blvd,
599507,,Harbor Park,
257390,,Harbor Pl & Goldsborough Dr,
598399,,Harborside Waterfront Park,
140,,Harlem River Park and Greenway,
268471,,Harrison Ave,
517329,,Hartshorne rd & Wigwam Rd,
599294,,Hartshorne Woods Park,
222619,,Haverstraw Bay County Park,
222622,,Haverstraw Marina,
596673,,Henry Hudson Springs,
600804,,Henry Hudson Trail,
160,,Hermon A Macneil Park,
547106,,Hiawatha Ave,
900150,,Highbridge Park,
645724,,Horan's Landing,
518215,,Hubbard Ave,
645522,,Hudson Highlands State Park,
310176,,Hudson Point Marina,
900130,,"Hudson River Park, Chelsesa Piers",
900127,,"Hudson River Park, Christopher Street Pier",
900123,crew@pier25marina.com,"Hudson River Park, Pier 25",Battery Park City
900124,,"Hudson River Park, Pier 26",
900126,,"Hudson River Park, Pier 40",
900129,,"Hudson River Park, Pier 53",
900135,,"Hudson River Park, Pier 57",
900131,,"Hudson River Park, Pier 64",
900132,info@hudsonsailing.org,"Hudson River Park, Pier 66",Midtown West
900133,,"Hudson River Park, Pier 84",Midtown West
900136,,"Hudson River Park, Pier 96",
270102,,"Hudson River Walkway, North Bergen",
284950,,Hudson River Waterfront Parkway,
287867,,Hudson River Waterfront Parkway,
287867,,Hudson River Waterfront Parkway,
289226,,Hudson River Waterfront Parkway,
289300,,Hudson River Waterfront Parkway,
264173,,Hudson River Waterfront Walkway,
265751,,Hudson River Waterfront Walkway,
327060,,Hudson River Waterfront Walkway,
418578,,Hudson River Waterfront Walkway,
649073,,Hudson River Waterfront Walkway,
58,,Hunt's Point Landing,
177,,Hunter's Point South Waterfront Park,"Hunters Point South, Long Island City"
31177,,Hunts Point Riverside Park,
598569,,Ideal Beach,
201576,,Idlewild Park,
647148,,Idlewild Park,
503631,,Imbrie Pl & Ocean Ave,
408906,,Insley Ave,
124,,Inwood Hill Park,
180374,,Inwood Marina,
646319,,Irvington Scenic Hudson Park,
506320,,Irwin Marine,
595542,,Island Avenue Dock,
501076,,Island Rd & Highland Ave,
503679,,Island View Way & Ocean Ave,
547550,,Itaska Pl,
595561,,J Owen Grundy Park,
595561,,J Owen Grundy Park,
66,,Jacob Riis Park at Jamaica Bay,
173,,Jamaica Bay Park,
173,,Jamaica Bay Park,
11,,Jamaica Bay Wildlife Refuge,
498267,,Jersey Ave,
499408,,Jersey Ave,
594696,,Jersey Ave,
646114,,JFK Marina,
443148,,Jimmie's Service & Boat Landing,
67,,Joe Michael's Mile,
456450,,John St,
595124,,Johnson Park,
595801,,Johnson Park,
597237,,Johnson Park,
597871,,Johnson Park,
598855,,Johnson Park,
599831,,Joseph Medwick Park,
158175,,Joseph P. Addabbo Bridge,
156,,Joseph T Mcguire Park,
154,City Parks Foundation,Kaiser Park,
649196,,Keansburg Beach,
595138,,Kearny Marsh,
649069,,Kearny Riverbank Park,
648141,,Ken Buchanan Riverfront Park,
595985,,Kenneth B. George Park,
529511,,Keyport Marine Basin,
601755,,Keyport Waterfront Park,
599678,,Keyport Waterfront Park & Fishing Pier,
531000,,Keyport Yacht Club,
147470,,Kiddie Beach,
147470,,Kiddie Beach,
106878,,Kings Marina,
118773,,Kings Plaza Marina,
108853,,Kingsborough Beach,
645555,,Kinnally Cove Park,
202854,,L'il Cricket Marina,
609975,,Lafayette St - Rahway River Street End,
501128,,"Lafayette St & Hunt St, Oceanic Marina",
476653,,Landings Ln & Easton Ave,
595939,"Hackensack Riverkeeper, East River CREW",Laurel Hill Park,
606405,,Lawrence St Bridge southeast,
608109,,Lawrence St Bridge southwest,
180742,,Lawrence Village Marina,
596857,,Leaf Composting Site,
611169,,Leesville Ave,
54,,Lemon Creek Park,
597896,,Lenape Park,
900167,,Lenape Park,
646293,,Lents Cove Park,
538123,,"Lentze Marina, Inc",
513506,,Leonardo Beach,
597361,,Leonardo State Marina,
598626,,Leonardo State Marina,
392310,,Lester St & Hathaway St,
311120,Urban Paddle Tours & Rentals,Liberty Harbor Marina,
646991,Liberty State Park,Liberty State Park,
63,,Lighthouse Park,"Astoria, E 90th Street"
598018,,Lijoi Riverfront Park,
179209,,Lil Cricket Too Marina,
505063,,Lincoln Ave & Packer Ave,
285319,,Lincoln Harbor,
596256,,Lincoln Park,
51,,Little Bay Park,
627008,,Livingston St & Front St,
636564,,Livingston St & Front St,
457392,,Lockwood Boat Works,
392367,,Locust Ave & Main Ave,
561094,,Locust Ave & Main Ave,
599613,,Locust Avenue Park,
58236,,Locust Point Yacht Club,
493723,,Log Cabin Road,
527017,,Long Branch Ice Boat Ramp & Yacht Club,
645735,Ossining Boat & Canoe Club,Louis Engel Waterfront Park,
157,info@redhookboaters.org,Louis Valentino Jr Park,Red Hook
71975,,Lowe's Gowanus Parklet & Boat Launch,
609423,,Lower Essex Street Park,
224999,,Lowland Park,
123401,,M and W Marine,
646039,,Maceachron Waterfront Park,
561383,,Main Ave,
597822,,Main Avenue Park,
598773,,Main Avenue Park,
604724,,Main St & E Emerson Ave,
606999,,Main St & Regina Ave,
646005,,Maithiessen Park,
165443,,Malba Drive,
164941,,Malba Drive + Boulevard,
198,,Manhattan Avenue Park,Hunters Point South
31,,Manhattan Beach Park,
216449,,Mansion Marina,
599598,,Maple Cove,
599599,,Maple Cove,
595113,,Maria W Andreas Memorial Park,
183723,,Marina 59,
547078,Oceanport Paddle Club,"Marina at Oceanport, Oceanport Paddling Club",
320257,,Marina Park,
95825,,Marine Basin Marina,
91,,Marine Park,
648268,,"Marine Park, Navesink Marina",
162120,,Marine Parkway Bridge bulkhead,Rockaway
502925,,Marius Ln & Ocean Ave,
562323,,Market St,
639976,,Marshall St & Front St,
900137,,MARY A. WHALEN,"Governor's Island (to BK), Midtown West, Red Hook"
598557,,Mary Rusignola Park,
600597,,Mary Rusignola Park,
647309,"Hoboken Cove Community Boathouse, Ke Aloha Outrigger",Maxwell Place Park,
599850,,Memorial Park,
356314,,Midland Ave,
647579,,Mill Creek Marsh Trail,
598508,,Mill Creek Point Park,
601205,,Miller Street Beach,
