ObjectID,GlobalID,county,lat,lon,municipality,natural_no,site_id,access_id,source,sq_acres,state,status,typology,waterbody,site_name,site_label,site_address,owner,owner_type,site_manager,phone_site_manager,email_site_manager,email_public,phone_public,url_public,site_description,photo_credits,safety,informal_swimming,use_limits,fee,fee_amount,hours_info,boat_launch_YN,equipment_rental,parking,parking_description,bike_parking_rack,restrooms,drinking_water,changing_station,food,picnic_area,playground,pets_allowed,amenities_description,wheelchair_access_amenities,wheelchair_access_restrooms,wheelchair_access_trails,accessibility_description,boat_access,public_transit,public_transit_description,bike_path_accessible,bike_path_access_description,program_id,program_name,program_contact,program_phone,program_url,program_hours,program_description,HPBL_YN,difficulty_level_HPBL,safety_HPBL,trailer_parking_HPBL,distance_parking_to_launch_HPBL,boat_launch_type_HPBL,boat_storage_HPBL,MPBL_YN,difficulty_level_MPBL,safety_MPBL,trailer_parking_MPBL,distance_parking_to_launch_MPBL,boat_launch_type_MPBL,boat_storage_MPBL,boat_storage_overnight_MPBL,navigational_notes_MPBL,pump_out_MPBL,haul_out_MPBL,boat_cleaning_requirements_MPBL,boat_inspections_MPBL,FISH_YN,permit_FISH,walking_path_FISH,fish_species_FISH,SWIM_YN,safety_SWIM,showers_SWIM,lifeguard_SWIM,CreationDate,Creator,EditDate,Editor,site_name_photo_01,site_name_photo_02,site_name_photo_03,access_type,access_type_other,water_depth_est,water_quality_monitoring,open_close_date,walking_trails,program_YN,program_contact,act_codes,x,y
34,2446f541-de5b-4b1b-84d0-973d1f66cf4b,Kings,40.67315723,-73.99698336,Lowe's,Lowe's,71975,1621_HPBL,Lowe's,Lowe's,Lowe's,Lowe's,Lowe's,Lowe's,Lowe's Gowanus Parklet & Boat Launch,,"539 Smith St, Brooklyn, NY 11231",Lowe's,Private,,,,,,,"South of 9th street, at the end of the Lowe's Parking lot, there is a boat launch, allowing users to access the waterfront through the Gowanus Canal. ",Alyssa Bement,"Recreational boating is prohibited north of 9th St bridge due to construction. This area is a wet weather discharge point due to proximity to CSOs, proceed with caution after heavy rainfall. ",N,Boat launch is currently inaccessible due to waterfront construction (as of summer 2023),N,,7 am - 8 pm,Y,NoRental,Y,,N,Y,Y,Y,N,N,N,Lowe's,"Bathrooms, changing station, and running water located inside Lowe's ",,Lowe's,Lowe's,,Y,Y,"F/G trains, B61 bus ",Y,9th St ,Lowe's,,abement@pratt.edu,,,,,Y,,,Y,,,N,Y,,,Y,,,N,N,,Lowe's,Lowe's,Lowe's,,N,,,,N,,,,7/9/2023 12:58,abement_Pratt,7/28/2023 22:18,HudsonAccessProject_PrattSAVI,lowesgowanusparkletboatlaunch_01.jpg,,,rocky,,,https://www.riverkeeper.org/water-quality/hudson-river/nyc-hudson-bergen/gowanus-canal/,,N,N,,HPBL,-73.9968901,40.67300055
36,26b60cc7-0f57-49f6-8efa-e16ec0ddf0a2,,,,,,,,,,,,,,Fairway Promenade at Red Hook Stores ,,"481 Van Brunt St, Brooklyn, NY 11231",,privately_owned,,,,,,,"Explore Red Hook's historic waterfront while relaxing alongside New York Bay, with comfortable seating and viewpoints throughout the promenade. As you walk along, feel free to stop by the several local businesses alongside the walkway. ",Alyssa Bement,"South entrance at the end of Van Brunt St. After passing Pier 44 waterfront garden, cross the parking lot to access Barnell St to Louis Valentino Jr. Park and Pier; the end of Barnell St is private event venue. ",N,,,,Dawn to Dusk,N,,N,,Y,Y,Y,Y,Y,Y,N,OnLeashOnly,"Bathrooms, changing station, running water, and food can be located inside Food Bazaar ",,,,"Accessing Louis Valentino, Jr. Park and Pier from Pier 44 Waterfront Garden requires passing through an uneven paved parking lot. ",N,Y,B61 bus service ,Y,Van Brunt St,,,abement@pratt.edu,,,,,N,,,,,,,N,,,,,,,,,,,,,N,,,,N,,,,7/9/2023 14:12,abement_Pratt,7/28/2023 18:10,HudsonAccessProject_PrattSAVI,fairwaypromenadeatredhookstores_01.jpg,fairwaypromenadeatredhookstores_02.jpg,fairwaypromenadeatredhookstores_03.jpg,rocky,,,https://www.riverkeeper.org/water-quality/citizen-data/new-york-city-waterfront/red-hook-valentino-pier-beach/,,Y,N,,,-74.01733741,40.67381052
37,a0ac502e-6ea8-4c64-8ef5-c0e1ff10665e,,,,,,,,,,,,,,Louis Valentino Jr Park,"Louis Valentino, Jr. Park and Pier","Ferris St &, Coffey St, Brooklyn, NY 11231",NYC Parks ,city_park,NYC311 Park Maintenance Complaint ,311,https://portal.311.nyc.gov/servicerequest-create/What?caid=aa7580f5-668b-e811-a965-000d3a1c5096,,311,https://portal.311.nyc.gov/servicerequest-create/What?caid=aa7580f5-668b-e811-a965-000d3a1c5096,"Now surrounded by industrial, residential, and historic buildings, Valentino Pier was once the site of an active shipping industry. In the 1600s, the Red Hook district was settled by the Dutch. As the land became more developed and the population grew, the shipping industry began to take form. With the growth of the New York Harbor and accompanying changes on the waterfront, Red Hook became one of the nation's premier shipping centers in the 19th century. This pier is a reminder of the shipping industry that once occupied the waters of the Buttermilk Channel and the Upper New York Harbor. This is a great spot for fishing and launching a canoe or kayak.",Alyssa Bement,"Watch for fishing lines, swift currents off the end of the pier, commercial traffic and a 100-yard security zone around the cruise ship terminal",N,,N,,Dawn to Dusk ,Y,Kayak,Y,"Street parking only, limited spots. ",Y,Y,Y,N,N,N,N,OnLeashOnly,Porta potty restrooms only. ,Y,,,Beach access is restricted through concrete path. ,Y,Y,B61 bus service ,Y,Ferris St ,"INSTR,EQUIP",Red Hook Boaters ,abement@pratt.edu,,https://www.redhookboaters.org/calendar,June to September ,"Participants in our programs utilize club kayaks for a short paddle inside the protected area of Louis Valentino Jr. Pier Park. After being fitted with PFD, a Red Hook Boater will give safety and paddling tips and will help with boarding and supervise departure.  Paddlers are free to explore the protected cove at their own pace and enjoy harbor views and wildlife of the estuary, but rides are limited to 15-20 minutes at a time to give everyone a chance. Before or after your trip, we ask that you join us in our beach cleanup, removing trash that has washed ashore. We supply the gloves and trash bags.  In addition, on a few selected dates throughout the season, paddlers who have volunteered time with the Red Hook Boaters may join us for open water tours to Brooklyn Bridge Park, Governors Island, the Gowanus Canal or the shorelines of Red Hook and Buttermilk Channel.",Y,,,N,,,,,,,,,,,,,,,,,Y,Y,,Striped Bass ,N,,,,7/9/2023 14:38,abement_Pratt,9/3/2023 18:21,HudsonAccessProject_PrattSAVI,louisjrvalentinopier_01.jpg,louisjrvalentinopier_02.jpg,louisjrvalentinopier_03.jpg,"pier,beach",,,https://www.riverkeeper.org/water-quality/citizen-data/new-york-city-waterfront/red-hook-valentino-pier-beach/,April 1 to December 1 ,Y,Y,info@redhookboaters.org,"HPBL,FISH",-74.01777062,40.67845235
38,b9a61410-d38b-4e79-88ee-cfc5f723fb58,,,,,,,,,,,,,,MARY A. WHALEN,,"Pier 11, Brooklyn, NY 11231",PortSide NewYork,non_profit,PortSide NewYork,917-414-0565,chiclet@portsidenewyork.org,chiclet@portsidenewyork.org,917-414-0565,https://portsidenewyork.org/mary-a-whalen,"Mary A. Whalen, known as the S.T. Kiddoo from 1938 to 1958, is a historic oil tanker located in the Red Hook neighborhood of Brooklyn, Kings County, New York. She is the home of the non-profit PortSide NewYork, and the group runs programs aboard her.",Alyssa Bement,,N,,,,Monday thru Friday 10 am - 6 pm ,N,,N,,N,,,,,,,,,,,,,,Y,"Red Hook Ferry, B61 bus service ",Y,"Imlay St, Pioneer St","TRIPS,ENVED",PortSide NewYork,abement@pratt.edu,917-414-0565,https://portsidenewyork.org/education-youth,,"PortSide NewYork educates school students, AND we believe education is a life-long process; so we educate youth, adults, policy makers and the media about the waterfront. We create WaterStories programs on and about the ship MARY A. WHALEN, and about the waterfront that bring multiple themes to life.  We do “place-based” education using the city and its harbor as classroom content. Lessons tie directly to place, making the content more vivid and relatable and inculcating how to learn from the world which fosters a practice of life-long inquiry and self-education.",N,,,,,,,N,,,,,,,,,,,,,N,,,,N,,,,7/9/2023 15:37,abement_Pratt,9/3/2023 18:25,HudsonAccessProject_PrattSAVI,maryawhalen_01.jpg,maryawhalen_02.jpg,,,,,https://www.weatherlink.com/embeddablePage/show/2903d3b29a9a4239a20778fa8b86c0b6/fullscreen,,,Y,chiclet@portsidenewyork.org,,-74.01265785,40.68066149
39,29390baf-6222-415a-8ec2-2a8b8024c3d9,Kings,40.64509168,-73.86648636,Queens,Queens,649119,501,Queens,Queens,NY,c,c,Jamaica Bay,Shirley Chisholm State Park,,"1750 Granville Payne Ave, Brooklyn",NYS Parks,state_or_county_park,NYS Parks,(718) 277-2420,accesspass@parks.ny.gov,NYS Parks,(718) 277-2420,https://parks.ny.gov/parks/200/details.aspx,"Shirley Chisholm State Park is named in honor of Shirley Chisholm, a Brooklyn-born trailblazer who was the first African American Congresswoman, as well as the first woman and African American to run for President.  Rising up 130 feet above sea level, this new park occupies some of the highest ground in New York City and offers spectacular panoramic views of the Empire State Building to the northwest, the Verrazano-Narrows Bridge and New York Harbor to the west, and Jamaica Bay to the south.",Alyssa Bement,The tides and currents of Jamaica Bay can change suddenly. Paddling experience strongly suggested.,N,,N,,8 am to Dusk,Y,"Kayak,Bike,FishingEqup",Y,,Y,Y,Y,Y,N,Y,Y,N,No grilling or fires ,N,Y,N,"Hiking trails are unpaved, crushed stone. Wheelchair access is limited. ",N,Y,"B13, Q8, BM2, BM3, B82, B83",Y,Jamaica Bay Greenway ,"INSTR,EQUIP,ENVED",NYS Parks ,abement@pratt.edu,(718) 277-2420,https://www.eventbrite.com/o/shirley-chisholm-environmental-education-team-30828107677,"Bike Library is open from May 4th to October 29th, Thursdays through Sundays, from 10 am to 4 pm.Free fishing equipment and lessons every Thursday, starting June 8th, at Penn Pier from 2-5 pm. ","The bike library provides free day-rentals for hybrid bicycles. The Shirley Chisholm Environmental Education Team provides free fishing and boating events, as well as a junior naturalists program.  Registering for events online is preferred but not required.",Y,The tides and currents of Jamaica Bay can change suddenly. Paddling experience strongly suggested.,,,,Ramp Launch,N,N,,,,,,,,,,,,,Y,Y,,"American Eel, Black Sea Bass, Bluefish, Dogfish, Porgy, Sea Robin, Striped Bass, Summer Flounder, Tautog, Weakfish, and Winter Flounder ",N,,,,7/9/2023 19:20,abement_Pratt,9/3/2023 18:37,HudsonAccessProject_PrattSAVI,shirleychisholmstatepark_01.jpg,shirleychisholmstatepark_02.jpg,shirleychisholmstatepark_03.jpg,"pier,dock,other",marshland,,https://www.riverkeeper.org/water-quality/citizen-data/new-york-city-waterfront/canarsie-paerdegat-basin-sebago-canoe-club-dock/,Open year-round,Y,Y,https://parks.ny.gov/about/contact-us.aspx,"HPBL,FISH",-73.8746632,40.64110909
40,1529e54f-04f9-4e20-8206-3a67ea8e3f98,Kings,40.63024677,-73.88478365,"Brooklyn,New York City","Brooklyn,New York City",45,"8, 616, 451, 730","nyc wap hpb,nyc wap fish","nyc wap hpb,nyc wap fish","NY,","c,","c,","Jamaica Bay,",Canarsie Pier at Jamaica Bay,,"Canarsie Veterans Circle, Brooklyn",National Park Service ,national,National Park Service  ,718-354-4606,,National Park Service ,718-354-4606,www.nps.gov/gate/learn/historyculture/canarsie-pier.htm,"Canarsie Pier has been a fishing hotspot for more than 300 years. Not only is this a great spot to catch blue fish and fluke, but has a picnic area, playground, and kayak launch. Put in at the sand beach on the east side of the popular 600-foot fishing pier. Seasonal walk-up kayaking is offered by National Park Service Rangers.",Alyssa Bement,,N,,N,,Open daily from 6 am to 10 pm,Y,Y,Y,Cars are allowed from 8 a.m. to 10 p.m.,N,Y,Y,Y,N,Y,Y,,,Y,Y,Y,,Y,Y,B42 to Rockaway Pkwy/Shore Pkwy,Y,Jamaica Bay Greenway,"INSTR,EQUIP",National Park Service Rangers.,abement@pratt.edu,718-758-3671,https://www.nps.gov/gate/planyourvisit/calendar.htm,,Seasonal walk-up kayaking is offered by National Park Service Rangers.,Y,,,Y,,Beach Launch ,N,Y,,,Y,,Beach Launch,N,N,,,,,,Y,Y,,"American eel, Black sea bass, Bluefish, Dogfish, Porgy, Sea Robin, Striped Bass, Summer Flounder, Tautog, Weakfish, Winter Flounder",N,,,,7/9/2023 20:44,abement_Pratt,9/3/2023 18:04,HudsonAccessProject_PrattSAVI,canarsiepier_01.jpg,canarsiepier_02.jpg,canarsiepier_03.jpg,"pier,beach",,,https://www.riverkeeper.org/water-quality/citizen-data/new-york-city-waterfront/canarsie-paerdegat-basin-sebago-canoe-club-dock/,,Y,Y,https://www.nps.gov/common/utilities/sendmail/sendemail.cfm?o=6F84CBB393D6908581B533A1E904E5AA498B&r=/gate/contacts.htm,FISH,-73.88521051,40.62980532
41,6095d94b-8a52-4368-8a99-1f2088a690f0,,,,,,,,,,,,,,Canarsie Park,,"Seaview Ave &, Remsen Ave, 11236",NYC Parks,city_park,NYC 311 Park Maintenance ,NYC 311,info@parks.nyc.gov,info@parks.nyc.gov,NYC 311,https://portal.311.nyc.gov/article/?kanumber=KA-01060,"Canarsie Park offers a variety of trails that lead to access points of Paerdegat and Fresh Creek Basins.  Surrounded by lush vegetation and several athletic fields, this park is a place of gathering for the community. There are several locations along the trail for people to engage with their environment in an isolated setting.",Alyssa Bement,,N,,N,,Dawn to Dusk,N,,Y,Street parking only ,Y,Y,Y,Y,N,Y,Y,OnLeashOnly,Spray showers ,Y,Y,Y,,N,Y,"B17, B42 bus service ",Y,Paerdegat Ave N,OTHER,New York Road Runners,abement@pratt.edu,855-569-6977,https://www.nycgovparks.org/parks/canarsie-park/events,This event repeats every week on Saturday between 3/4/2023 and 3/2/2024.,"NYRR Open Run Brings free, 5K weekly community-led runs, to neighborhood parks across the greater New York City area. The program is free and open to runners and walkers of all ages, abilities, and experience levels.",N,,,,,,,N,,,,,,,,,,,,,Y,Y,,"American Eel, Black Sea Bass, Bluefish, Dogfish, Porgy, Sea Robin, Striped Bass, Summer Flounder, Tautog, Weakfish, Winter Flounder",N,,,,7/9/2023 21:06,abement_Pratt,9/3/2023 18:02,HudsonAccessProject_PrattSAVI,canarsiepark_01.jpg,canarsiepark_02.jpg,canarsiepark_03.jpg,beach,,,https://www.riverkeeper.org/water-quality/citizen-data/new-york-city-waterfront/canarsie-paerdegat-basin-sebago-canoe-club-dock/,,Y,Y,openrun@nyrr.org,FISH,-73.89631011,40.6263288
42,da1362e6-2cd3-4d8e-8248-83e909a7604e,Kings,40.60286325,-74.01915387,Y,Y,194,504,Y,Y,Y,Y,Promenade,Promenade,Bay Ridge Kite Field,Bay Ridge Kite Field on Shore Parkway Greenway,"Shore Rd & Bay Pkwy, Bay 50th St",NYC Parks,city_park,NYC 311 Park Maintenance Complaint ,311,,,311,https://portal.311.nyc.gov/article/?kanumber=KA-01060,"Open green space along the Shore Parkway Greenway, great place to fly kites.  Take a break from the greenway to lay in the grass, overlooking Gravesend Bay. A portion of the park in under construction for roadway improvements. ",Alyssa Bement,,N,,N,,,N,NoRental,Y,Small parking lot off of Shore Pkwy,N,N,N,N,Y,N,N,Y,Halal cart in parking lot ,N,,N,Unpaved from parking lot to greenway. Construction occurring around parking lot ,N,Y,Bus: B82/X28/X38 to Cropsey Av/Bay 49th St,Y,Shore Parkway Greenway,Kings,,email not found,,,,,N,,,,,,,N,,,,,,,,,,,,,Y,Y,200 ft ,"American Eel, Black Sea Bass, Bluefish, Dogfish, Porgy, Sea Robin, Striped Bass, Summer Flounder, Tautog, Weakfish, Winter Flounder",N,,,,7/12/2023 1:11,,7/28/2023 22:13,HudsonAccessProject_PrattSAVI,bayridgekitefield_01.jpg,bayridgekitefield_02.jpg,,pier,,,,,Y,N,,FISH,-74.0241073,40.60412164
43,acca971b-396f-448a-8e8f-e0b66097472e,Kings,40.62588348,-74.04086137,New York City,New York City,161,"1, 517, 201, 721",nyc wap fish,nyc wap fish,nyc wap fish,nyc wap fish,"Pier,","Pier,",Shore Road Park,Shore Road Park and Parkway,"Bay Ridge Ave (69th St) at Shore Rd, Bay Ridge",NYC Parks,city_park,NYC 311 Park Maintenance ,311,info@parks.nyc.gov,info@parks.nyc.gov,311,https://portal.311.nyc.gov/article/?kanumber=KA-01060,"An expansive park along the Shore Parkway Greenway, Shore Road Park is a luscious 2-mile park, offering athletic fields, shaded places to sit, and artistic homages to The Narrows waterfront.",Alyssa Bement,"Access to Shore Road Park from the Greenway on Fourth Ave, 92nd St, and south of 80th St.",N,,N,,6 am - 1 am,N,www.dec.ny.gov/outdoor/8377.html,N,,Y,Y,Y,Y,N,Y,Y,OnLeashOnly,Limited street parking available. ,Y,Y,Y,,N,Y,"Subway: N, R; B9, B64 Bus to Bay Ridge Ave, Shore Rd",Y,Shore Parkway Greenway,OTHER,New York Road Runners ,email not found,855-569-6977,https://www.nyrr.org/openrun/parks/shore-road-park,Saturdays at 9:00 AM,"Shore Road Park, located in Bay Ridge, Brooklyn, is one of our longer Open Run courses. The park serves residents of Bay Ridge, Sunset Park, Dyker Heights, Fort Hamilton, and other surrounding neighborhoods.     The course is three loops alongside Shore Road with stunning views of the Verrazzano-Narrows Bridge. ",N,,,,,,,N,,,,,,,,,,,,,Y,Y,,"American Eel, Black Sea Bass, Bluefish, Dogfish, Porgy, Sea Robin, Striped Bass, Summer Flounder, Tautog, Weakfish, Winter Flounder",N,,,,7/12/2023 1:39,,9/3/2023 18:39,HudsonAccessProject_PrattSAVI,shoreroadparkandparkway_01.jpg,shoreroadparkandparkway_02.jpg,shoreroadparkandparkway_03.jpg,pier,,,,,Y,Y,openrun@nyrr.org,FISH,-74.03875416,40.61539978
44,4fe69fc5-ce1e-4e3d-86f2-c08ee115b7d3,,,,,,,,,,,,,,Narrows Botanical Gardens,,"464 Bay Ridge Ave, Brooklyn, NY 11220",Narrows Botanical Gardens,non_profit,Linda ,,linda@narrowsbg.org,linda@narrowsbg.org,,https://www.narrowsbg.org/,"Peaceful volunteer-run 4.5-acre garden featuring native plants, trees, walking paths & water views.",,"To access from the Shore Parkway Greenway, head north to the American Veterans Memorial Pier, then take a right on Bay Ridge Avenue to cross Belt Pkwy.  ",,,Y,Donation based for general upkeep and maintenance of the Gardens. ,10 am - 5 pm,N,,N,,,,,,,Y,,,,,,,,N,Y,B64 bus service ,Y,Shore Parkway Greenway,TRIPS,Narrows Botanical Gardens,abement@pratt.edu,718-748-4810,https://www.narrowsbg.org/events,,,N,,,,,,,N,,,,,,,,,,,,,N,,,,N,,,,7/12/2023 1:57,abement_Pratt,9/3/2023 18:28,HudsonAccessProject_PrattSAVI,,,,,,,,,Y,Y, linda@narrowsbg.org,,-74.03673876,40.63738098
